c_kernel_gamma_feats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),kernel,feats,C,gamma,degree,coef0,avg_metric
0.100_poly_scale_1.0_1_desc,0.851,0.022,0.219,0.034,0.909,0.009,0.144,0.004,poly,desc,0.1,scale,1.0,1.0,0.5640000000000001
0.100_poly_scale_3.0_1_desc,0.851,0.022,0.219,0.034,0.909,0.009,0.144,0.004,poly,desc,0.1,scale,1.0,3.0,0.5640000000000001
0.100_poly_scale_10.0_1_desc,0.851,0.022,0.219,0.034,0.909,0.009,0.144,0.004,poly,desc,0.1,scale,1.0,10.0,0.5640000000000001
0.100_poly_auto_-1.0_1_desc,0.85,0.022,0.219,0.034,0.909,0.009,0.144,0.005,poly,desc,0.1,auto,1.0,-1.0,0.5640000000000001
0.100_poly_auto_0.0_1_desc,0.85,0.022,0.219,0.034,0.909,0.009,0.144,0.005,poly,desc,0.1,auto,1.0,0.0,0.5640000000000001
0.100_poly_auto_0.3_1_desc,0.85,0.022,0.219,0.034,0.909,0.009,0.144,0.005,poly,desc,0.1,auto,1.0,0.3,0.5640000000000001
0.100_poly_auto_1.0_1_desc,0.85,0.022,0.219,0.034,0.909,0.009,0.144,0.005,poly,desc,0.1,auto,1.0,1.0,0.5640000000000001
0.100_poly_auto_3.0_1_desc,0.85,0.022,0.219,0.034,0.909,0.009,0.144,0.005,poly,desc,0.1,auto,1.0,3.0,0.5640000000000001
0.100_poly_auto_10.0_1_desc,0.85,0.022,0.219,0.034,0.909,0.009,0.144,0.005,poly,desc,0.1,auto,1.0,10.0,0.5640000000000001
0.001_poly_scale_0.3_3_desc,0.714,0.008,0.238,0.02,0.886,0.007,0.304,0.008,poly,desc,0.001,scale,3.0,0.3,0.562
0.001_poly_0.1_-1.0_1_desc,0.84,0.013,0.215,0.028,0.907,0.012,0.135,0.005,poly,desc,0.001,0.1,1.0,-1.0,0.561
0.001_poly_0.1_0.0_1_desc,0.84,0.013,0.215,0.028,0.907,0.012,0.135,0.005,poly,desc,0.001,0.1,1.0,0.0,0.561
0.001_poly_0.1_0.3_1_desc,0.84,0.013,0.215,0.028,0.907,0.012,0.135,0.005,poly,desc,0.001,0.1,1.0,0.3,0.561
0.001_poly_0.1_1.0_1_desc,0.84,0.013,0.215,0.028,0.907,0.012,0.135,0.005,poly,desc,0.001,0.1,1.0,1.0,0.561
0.001_poly_0.1_3.0_1_desc,0.84,0.013,0.215,0.028,0.907,0.012,0.135,0.005,poly,desc,0.001,0.1,1.0,3.0,0.561
0.001_poly_0.1_10.0_1_desc,0.84,0.013,0.215,0.028,0.907,0.012,0.135,0.005,poly,desc,0.001,0.1,1.0,10.0,0.561
0.001_poly_auto_0.3_3_desc,0.709,0.01,0.235,0.017,0.885,0.01,0.302,0.011,poly,desc,0.001,auto,3.0,0.3,0.56
0.001_poly_scale_1.0_2_desc,0.813,0.012,0.227,0.029,0.89,0.013,0.165,0.006,poly,desc,0.001,scale,2.0,1.0,0.5585
0.001_poly_auto_1.0_2_desc,0.81,0.011,0.225,0.029,0.889,0.013,0.163,0.005,poly,desc,0.001,auto,2.0,1.0,0.557
0.010_poly_scale_-1.0_1_desc,0.835,0.013,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,scale,1.0,-1.0,0.554
0.010_poly_scale_0.0_1_desc,0.835,0.013,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,scale,1.0,0.0,0.554
0.010_poly_scale_0.3_1_desc,0.835,0.014,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,scale,1.0,0.3,0.554
0.010_poly_scale_1.0_1_desc,0.835,0.013,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,scale,1.0,1.0,0.554
0.010_poly_scale_3.0_1_desc,0.835,0.013,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,scale,1.0,3.0,0.554
0.010_poly_scale_10.0_1_desc,0.835,0.013,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,scale,1.0,10.0,0.554
0.010_poly_auto_-1.0_1_desc,0.834,0.014,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,auto,1.0,-1.0,0.554
0.010_poly_auto_0.0_1_desc,0.834,0.014,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,auto,1.0,0.0,0.554
0.010_poly_auto_0.3_1_desc,0.834,0.014,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,auto,1.0,0.3,0.554
0.010_poly_auto_1.0_1_desc,0.834,0.014,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,auto,1.0,1.0,0.554
0.010_poly_auto_3.0_1_desc,0.834,0.014,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,auto,1.0,3.0,0.554
0.010_poly_auto_10.0_1_desc,0.834,0.014,0.207,0.026,0.901,0.013,0.13,0.005,poly,desc,0.01,auto,1.0,10.0,0.554
0.001_poly_scale_0.0_4_desc,0.643,0.009,0.241,0.014,0.851,0.011,0.331,0.015,poly,desc,0.001,scale,4.0,0.0,0.546
0.001_poly_auto_0.0_4_desc,0.633,0.01,0.233,0.013,0.848,0.011,0.315,0.013,poly,desc,0.001,auto,4.0,0.0,0.5405
0.001_poly_scale_0.3_2_desc,0.741,0.013,0.201,0.021,0.872,0.012,0.214,0.008,poly,desc,0.001,scale,2.0,0.3,0.5365
5.000_poly_scale_-1.0_1_desc,0.819,0.019,0.19,0.047,0.882,0.019,0.118,0.003,poly,desc,5.0,scale,1.0,-1.0,0.536
5.000_poly_scale_0.0_1_desc,0.819,0.019,0.19,0.047,0.882,0.019,0.118,0.003,poly,desc,5.0,scale,1.0,0.0,0.536
5.000_poly_scale_0.3_1_desc,0.819,0.019,0.19,0.047,0.882,0.019,0.118,0.003,poly,desc,5.0,scale,1.0,0.3,0.536
5.000_poly_scale_1.0_1_desc,0.819,0.019,0.19,0.047,0.882,0.019,0.118,0.004,poly,desc,5.0,scale,1.0,1.0,0.536
5.000_poly_scale_3.0_1_desc,0.819,0.019,0.19,0.047,0.882,0.019,0.118,0.003,poly,desc,5.0,scale,1.0,3.0,0.536
5.000_poly_scale_10.0_1_desc,0.819,0.019,0.19,0.047,0.882,0.019,0.118,0.003,poly,desc,5.0,scale,1.0,10.0,0.536
10.000_poly_scale_-1.0_1_desc,0.821,0.019,0.191,0.043,0.881,0.019,0.12,0.003,poly,desc,10.0,scale,1.0,-1.0,0.536
10.000_poly_scale_0.0_1_desc,0.821,0.019,0.191,0.043,0.881,0.019,0.12,0.003,poly,desc,10.0,scale,1.0,0.0,0.536
10.000_poly_scale_0.3_1_desc,0.821,0.019,0.191,0.043,0.881,0.019,0.12,0.003,poly,desc,10.0,scale,1.0,0.3,0.536
10.000_poly_scale_1.0_1_desc,0.821,0.019,0.191,0.043,0.881,0.019,0.12,0.003,poly,desc,10.0,scale,1.0,1.0,0.536
10.000_poly_scale_3.0_1_desc,0.821,0.019,0.191,0.043,0.881,0.019,0.12,0.003,poly,desc,10.0,scale,1.0,3.0,0.536
10.000_poly_scale_10.0_1_desc,0.821,0.019,0.191,0.043,0.881,0.019,0.12,0.003,poly,desc,10.0,scale,1.0,10.0,0.536
1.000_poly_scale_-1.0_1_desc,0.819,0.017,0.185,0.046,0.884,0.018,0.115,0.005,poly,desc,1.0,scale,1.0,-1.0,0.5345
1.000_poly_scale_0.0_1_desc,0.819,0.017,0.185,0.046,0.884,0.018,0.115,0.005,poly,desc,1.0,scale,1.0,0.0,0.5345
1.000_poly_scale_0.3_1_desc,0.819,0.017,0.185,0.046,0.884,0.018,0.115,0.005,poly,desc,1.0,scale,1.0,0.3,0.5345
1.000_poly_scale_1.0_1_desc,0.819,0.017,0.185,0.046,0.884,0.018,0.115,0.005,poly,desc,1.0,scale,1.0,1.0,0.5345
1.000_poly_scale_3.0_1_desc,0.819,0.017,0.185,0.046,0.884,0.018,0.115,0.005,poly,desc,1.0,scale,1.0,3.0,0.5345
1.000_poly_scale_10.0_1_desc,0.819,0.017,0.185,0.046,0.884,0.018,0.115,0.005,poly,desc,1.0,scale,1.0,10.0,0.5345
0.001_poly_scale_0.0_3_desc,0.647,0.007,0.204,0.011,0.863,0.016,0.286,0.01,poly,desc,0.001,scale,3.0,0.0,0.5335
0.001_poly_auto_0.3_2_desc,0.733,0.014,0.198,0.021,0.869,0.012,0.209,0.009,poly,desc,0.001,auto,2.0,0.3,0.5335
0.001_poly_auto_0.0_3_desc,0.645,0.008,0.198,0.011,0.861,0.016,0.282,0.01,poly,desc,0.001,auto,3.0,0.0,0.5295
0.001_poly_0.5_-1.0_3_desc,0.715,0.028,0.193,0.029,0.829,0.012,0.243,0.036,poly,desc,0.001,0.5,3.0,-1.0,0.511
0.010_poly_0.5_-1.0_3_desc,0.716,0.028,0.191,0.03,0.83,0.013,0.243,0.035,poly,desc,0.01,0.5,3.0,-1.0,0.5105
0.100_poly_0.5_-1.0_3_desc,0.716,0.028,0.191,0.03,0.83,0.013,0.243,0.035,poly,desc,0.1,0.5,3.0,-1.0,0.5105
0.001_poly_scale_-1.0_1_desc,0.763,0.01,0.168,0.027,0.85,0.016,0.116,0.003,poly,desc,0.001,scale,1.0,-1.0,0.509
0.001_poly_scale_0.0_1_desc,0.763,0.01,0.168,0.027,0.85,0.016,0.116,0.003,poly,desc,0.001,scale,1.0,0.0,0.509
0.001_poly_scale_0.3_1_desc,0.763,0.01,0.168,0.027,0.85,0.016,0.116,0.003,poly,desc,0.001,scale,1.0,0.3,0.509
0.001_poly_scale_1.0_1_desc,0.763,0.01,0.168,0.027,0.85,0.016,0.116,0.003,poly,desc,0.001,scale,1.0,1.0,0.509
0.001_poly_scale_3.0_1_desc,0.763,0.01,0.168,0.027,0.85,0.016,0.116,0.003,poly,desc,0.001,scale,1.0,3.0,0.509
0.001_poly_scale_10.0_1_desc,0.763,0.01,0.168,0.027,0.85,0.016,0.116,0.003,poly,desc,0.001,scale,1.0,10.0,0.509
0.001_poly_scale_0.0_2_desc,0.662,0.019,0.179,0.012,0.838,0.006,0.259,0.027,poly,desc,0.001,scale,2.0,0.0,0.5085
0.001_poly_auto_-1.0_1_desc,0.759,0.008,0.168,0.027,0.849,0.016,0.117,0.003,poly,desc,0.001,auto,1.0,-1.0,0.5085
0.001_poly_auto_0.0_1_desc,0.759,0.008,0.168,0.027,0.849,0.016,0.117,0.003,poly,desc,0.001,auto,1.0,0.0,0.5085
0.001_poly_auto_0.3_1_desc,0.759,0.008,0.168,0.027,0.849,0.016,0.117,0.003,poly,desc,0.001,auto,1.0,0.3,0.5085
0.001_poly_auto_1.0_1_desc,0.759,0.008,0.168,0.027,0.849,0.016,0.117,0.003,poly,desc,0.001,auto,1.0,1.0,0.5085
0.001_poly_auto_3.0_1_desc,0.759,0.008,0.168,0.027,0.849,0.016,0.117,0.003,poly,desc,0.001,auto,1.0,3.0,0.5085
0.001_poly_auto_10.0_1_desc,0.759,0.008,0.168,0.027,0.849,0.016,0.117,0.003,poly,desc,0.001,auto,1.0,10.0,0.5085
0.001_poly_auto_0.0_2_desc,0.659,0.018,0.176,0.012,0.836,0.006,0.263,0.029,poly,desc,0.001,auto,2.0,0.0,0.506
0.001_poly_0.5_-1.0_2_desc,0.68,0.015,0.08,0.018,0.77,0.014,0.072,0.004,poly,desc,0.001,0.5,2.0,-1.0,0.425
0.010_poly_0.5_-1.0_2_desc,0.679,0.016,0.079,0.018,0.769,0.015,0.072,0.004,poly,desc,0.01,0.5,2.0,-1.0,0.424
0.100_poly_0.5_-1.0_2_desc,0.679,0.016,0.079,0.018,0.769,0.015,0.072,0.004,poly,desc,0.1,0.5,2.0,-1.0,0.424
0.001_poly_auto_-1.0_3_desc,0.656,0.018,0.071,0.018,0.71,0.017,0.048,0.004,poly,desc,0.001,auto,3.0,-1.0,0.3904999999999999
0.001_poly_scale_-1.0_3_desc,0.654,0.018,0.072,0.018,0.704,0.015,0.047,0.003,poly,desc,0.001,scale,3.0,-1.0,0.3879999999999999
0.001_poly_0.1_-1.0_3_desc,0.649,0.018,0.052,0.006,0.714,0.011,0.057,0.004,poly,desc,0.001,0.1,3.0,-1.0,0.383
0.010_poly_0.1_-1.0_3_desc,0.649,0.018,0.052,0.006,0.713,0.011,0.057,0.004,poly,desc,0.01,0.1,3.0,-1.0,0.3825
0.100_poly_0.1_-1.0_3_desc,0.648,0.02,0.052,0.006,0.713,0.011,0.057,0.004,poly,desc,0.1,0.1,3.0,-1.0,0.3825
0.001_poly_0.1_-1.0_4_desc,0.61,0.036,0.077,0.002,0.656,0.037,0.056,0.011,poly,desc,0.001,0.1,4.0,-1.0,0.3665
0.010_poly_0.1_-1.0_4_desc,0.61,0.036,0.077,0.002,0.656,0.037,0.056,0.011,poly,desc,0.01,0.1,4.0,-1.0,0.3665
0.100_poly_0.1_-1.0_4_desc,0.61,0.036,0.077,0.002,0.656,0.037,0.056,0.011,poly,desc,0.1,0.1,4.0,-1.0,0.3665
0.010_poly_scale_-1.0_3_desc,0.589,0.016,0.056,0.01,0.631,0.013,0.037,0.002,poly,desc,0.01,scale,3.0,-1.0,0.3435
0.010_poly_auto_-1.0_3_desc,0.595,0.018,0.055,0.011,0.632,0.014,0.037,0.002,poly,desc,0.01,auto,3.0,-1.0,0.3435
0.100_poly_scale_-1.0_3_desc,0.582,0.016,0.055,0.01,0.625,0.014,0.036,0.002,poly,desc,0.1,scale,3.0,-1.0,0.34
0.100_poly_auto_-1.0_3_desc,0.587,0.012,0.054,0.01,0.625,0.013,0.036,0.001,poly,desc,0.1,auto,3.0,-1.0,0.3395
1.000_poly_scale_-1.0_3_desc,0.582,0.015,0.054,0.01,0.624,0.014,0.036,0.002,poly,desc,1.0,scale,3.0,-1.0,0.339
1.000_poly_auto_-1.0_3_desc,0.585,0.012,0.053,0.01,0.625,0.013,0.036,0.001,poly,desc,1.0,auto,3.0,-1.0,0.339
0.001_poly_0.1_-1.0_2_desc,0.573,0.006,0.039,0.008,0.628,0.011,0.035,0.001,poly,desc,0.001,0.1,2.0,-1.0,0.3335
0.010_poly_0.1_-1.0_2_desc,0.569,0.008,0.038,0.008,0.626,0.012,0.035,0.001,poly,desc,0.01,0.1,2.0,-1.0,0.332
0.100_poly_0.1_-1.0_2_desc,0.582,0.029,0.035,0.01,0.629,0.016,0.037,0.005,poly,desc,0.1,0.1,2.0,-1.0,0.332
1.000_poly_scale_-1.0_3_desc,0.568,0.029,0.038,0.006,0.598,0.038,0.03,0.003,poly,desc,1.0,scale,3.0,-1.0,0.318
5.000_poly_scale_-1.0_3_desc,0.567,0.03,0.037,0.006,0.598,0.038,0.03,0.003,poly,desc,5.0,scale,3.0,-1.0,0.3175
10.000_poly_scale_-1.0_3_desc,0.567,0.03,0.037,0.006,0.598,0.038,0.03,0.003,poly,desc,10.0,scale,3.0,-1.0,0.3175
1.000_poly_scale_-1.0_4_desc,0.436,0.056,0.022,0.015,0.392,0.079,0.02,0.005,poly,desc,1.0,scale,4.0,-1.0,0.207
1.000_poly_auto_-1.0_4_desc,0.433,0.054,0.02,0.015,0.39,0.079,0.02,0.005,poly,desc,1.0,auto,4.0,-1.0,0.205
1.000_poly_scale_-1.0_2_desc,0.428,0.058,0.012,0.005,0.392,0.069,0.018,0.005,poly,desc,1.0,scale,2.0,-1.0,0.202
5.000_poly_scale_-1.0_2_desc,0.428,0.058,0.012,0.005,0.392,0.069,0.018,0.005,poly,desc,5.0,scale,2.0,-1.0,0.202
10.000_poly_scale_-1.0_2_desc,0.428,0.058,0.012,0.005,0.392,0.069,0.018,0.005,poly,desc,10.0,scale,2.0,-1.0,0.202
1.000_poly_scale_-1.0_4_desc,0.411,0.016,0.01,0.003,0.373,0.016,0.016,0.001,poly,desc,1.0,scale,4.0,-1.0,0.1915
5.000_poly_scale_-1.0_4_desc,0.411,0.016,0.01,0.003,0.373,0.016,0.016,0.001,poly,desc,5.0,scale,4.0,-1.0,0.1915
10.000_poly_scale_-1.0_4_desc,0.411,0.016,0.01,0.003,0.373,0.016,0.016,0.001,poly,desc,10.0,scale,4.0,-1.0,0.1915
0.001_poly_scale_-1.0_4_desc,0.406,0.011,0.015,0.004,0.358,0.018,0.018,0.001,poly,desc,0.001,scale,4.0,-1.0,0.1865
0.010_poly_scale_-1.0_4_desc,0.406,0.012,0.014,0.003,0.357,0.018,0.018,0.001,poly,desc,0.01,scale,4.0,-1.0,0.1855
0.001_poly_auto_-1.0_4_desc,0.404,0.011,0.014,0.004,0.356,0.017,0.017,0.001,poly,desc,0.001,auto,4.0,-1.0,0.185
0.100_poly_scale_-1.0_4_desc,0.407,0.012,0.013,0.004,0.357,0.018,0.018,0.001,poly,desc,0.1,scale,4.0,-1.0,0.185
0.010_poly_auto_-1.0_4_desc,0.405,0.01,0.013,0.004,0.356,0.018,0.017,0.001,poly,desc,0.01,auto,4.0,-1.0,0.1845
0.100_poly_auto_-1.0_4_desc,0.403,0.011,0.013,0.004,0.356,0.018,0.017,0.001,poly,desc,0.1,auto,4.0,-1.0,0.1845
0.001_poly_scale_-1.0_2_desc,0.389,0.015,0.011,0.004,0.341,0.017,0.016,0.001,poly,desc,0.001,scale,2.0,-1.0,0.176
0.010_poly_scale_-1.0_2_desc,0.395,0.014,0.011,0.004,0.341,0.016,0.017,0.001,poly,desc,0.01,scale,2.0,-1.0,0.176
0.100_poly_scale_-1.0_2_desc,0.394,0.014,0.011,0.004,0.341,0.016,0.017,0.001,poly,desc,0.1,scale,2.0,-1.0,0.176
1.000_poly_scale_-1.0_2_desc,0.395,0.014,0.01,0.002,0.342,0.016,0.017,0.001,poly,desc,1.0,scale,2.0,-1.0,0.176
0.010_poly_auto_-1.0_2_desc,0.392,0.013,0.011,0.004,0.34,0.016,0.017,0.001,poly,desc,0.01,auto,2.0,-1.0,0.1755
0.100_poly_auto_-1.0_2_desc,0.393,0.013,0.011,0.004,0.34,0.016,0.017,0.001,poly,desc,0.1,auto,2.0,-1.0,0.1755
1.000_poly_auto_-1.0_2_desc,0.393,0.013,0.011,0.004,0.34,0.016,0.017,0.001,poly,desc,1.0,auto,2.0,-1.0,0.1755
0.001_poly_auto_-1.0_2_desc,0.388,0.016,0.011,0.004,0.338,0.017,0.016,0.001,poly,desc,0.001,auto,2.0,-1.0,0.1745
0.100_poly_scale_0.0_2_fps,0.767,0.012,0.688,0.042,0.954,0.004,0.67,0.025,poly,fps,0.1,scale,2.0,0.0,0.821
5.000_poly_scale_0.0_2_fps,0.742,0.025,0.691,0.063,0.944,0.013,0.637,0.045,poly,fps,5.0,scale,2.0,0.0,0.8174999999999999
1.000_poly_scale_0.0_2_fps,0.743,0.025,0.688,0.064,0.945,0.013,0.639,0.045,poly,fps,1.0,scale,2.0,0.0,0.8165
0.001_poly_0.1_0.0_3_fps,0.705,0.018,0.683,0.043,0.949,0.011,0.57,0.034,poly,fps,0.001,0.1,3.0,0.0,0.8160000000000001
0.001_poly_0.5_0.0_3_fps,0.705,0.018,0.683,0.043,0.949,0.011,0.57,0.034,poly,fps,0.001,0.5,3.0,0.0,0.8160000000000001
0.001_poly_0.5_1.0_3_fps,0.705,0.018,0.683,0.043,0.949,0.011,0.57,0.034,poly,fps,0.001,0.5,3.0,1.0,0.8160000000000001
0.001_poly_0.5_10.0_3_fps,0.708,0.016,0.683,0.042,0.949,0.01,0.578,0.03,poly,fps,0.001,0.5,3.0,10.0,0.8160000000000001
0.010_poly_0.1_1.0_3_fps,0.707,0.017,0.683,0.043,0.949,0.011,0.576,0.032,poly,fps,0.01,0.1,3.0,1.0,0.8160000000000001
0.010_poly_0.5_0.0_3_fps,0.705,0.018,0.683,0.043,0.949,0.011,0.57,0.034,poly,fps,0.01,0.5,3.0,0.0,0.8160000000000001
0.001_poly_0.1_10.0_3_fps,0.712,0.019,0.686,0.042,0.945,0.009,0.584,0.037,poly,fps,0.001,0.1,3.0,10.0,0.8155
0.100_poly_scale_0.0_3_fps,0.697,0.021,0.676,0.04,0.955,0.01,0.551,0.045,poly,fps,0.1,scale,3.0,0.0,0.8155
0.100_poly_scale_0.3_3_fps,0.743,0.016,0.689,0.044,0.941,0.005,0.634,0.034,poly,fps,0.1,scale,3.0,0.3,0.815
0.100_poly_scale_0.3_4_fps,0.704,0.021,0.682,0.043,0.944,0.005,0.565,0.048,poly,fps,0.1,scale,4.0,0.3,0.813
5.000_poly_scale_0.3_3_fps,0.726,0.028,0.683,0.061,0.941,0.013,0.611,0.054,poly,fps,5.0,scale,3.0,0.3,0.812
1.000_poly_scale_0.3_3_fps,0.726,0.028,0.683,0.061,0.94,0.013,0.609,0.053,poly,fps,1.0,scale,3.0,0.3,0.8115
0.010_poly_auto_0.0_3_fps,0.617,0.009,0.666,0.017,0.955,0.013,0.377,0.023,poly,fps,0.01,auto,3.0,0.0,0.8105
5.000_poly_scale_0.0_3_fps,0.697,0.022,0.67,0.067,0.951,0.013,0.557,0.046,poly,fps,5.0,scale,3.0,0.0,0.8105
0.100_poly_scale_0.3_2_fps,0.798,0.012,0.679,0.047,0.94,0.004,0.691,0.027,poly,fps,0.1,scale,2.0,0.3,0.8095
1.000_poly_scale_0.0_3_fps,0.697,0.022,0.668,0.068,0.951,0.013,0.556,0.045,poly,fps,1.0,scale,3.0,0.0,0.8095
1.000_poly_scale_0.3_4_fps,0.694,0.019,0.674,0.064,0.944,0.012,0.551,0.04,poly,fps,1.0,scale,4.0,0.3,0.8089999999999999
5.000_poly_scale_0.3_4_fps,0.694,0.019,0.674,0.063,0.944,0.012,0.551,0.04,poly,fps,5.0,scale,4.0,0.3,0.8089999999999999
0.100_poly_scale_0.0_4_fps,0.665,0.022,0.668,0.039,0.949,0.016,0.488,0.049,poly,fps,0.1,scale,4.0,0.0,0.8085
0.001_poly_scale_0.0_3_fps,0.513,0.005,0.658,0.015,0.956,0.011,0.049,0.019,poly,fps,0.001,scale,3.0,0.0,0.8069999999999999
0.001_poly_auto_0.0_3_fps,0.513,0.005,0.658,0.015,0.956,0.011,0.049,0.019,poly,fps,0.001,auto,3.0,0.0,0.8069999999999999
5.000_poly_scale_0.3_2_fps,0.749,0.025,0.678,0.059,0.931,0.015,0.648,0.046,poly,fps,5.0,scale,2.0,0.3,0.8045
1.000_poly_scale_0.3_2_fps,0.751,0.025,0.677,0.06,0.931,0.014,0.649,0.044,poly,fps,1.0,scale,2.0,0.3,0.804
0.100_poly_scale_1.0_4_fps,0.738,0.019,0.676,0.035,0.929,0.007,0.623,0.039,poly,fps,0.1,scale,4.0,1.0,0.8025
0.100_poly_scale_1.0_3_fps,0.762,0.014,0.676,0.039,0.928,0.008,0.661,0.028,poly,fps,0.1,scale,3.0,1.0,0.802
1.000_poly_scale_1.0_4_fps,0.728,0.028,0.67,0.062,0.933,0.015,0.613,0.054,poly,fps,1.0,scale,4.0,1.0,0.8015000000000001
5.000_poly_scale_0.0_4_fps,0.663,0.013,0.655,0.069,0.948,0.014,0.486,0.033,poly,fps,5.0,scale,4.0,0.0,0.8015
1.000_poly_scale_0.0_4_fps,0.663,0.013,0.653,0.069,0.948,0.015,0.485,0.032,poly,fps,1.0,scale,4.0,0.0,0.8005
5.000_poly_scale_1.0_4_fps,0.728,0.028,0.668,0.06,0.932,0.015,0.613,0.055,poly,fps,5.0,scale,4.0,1.0,0.8
1.000_poly_scale_1.0_3_fps,0.739,0.027,0.666,0.06,0.928,0.016,0.631,0.05,poly,fps,1.0,scale,3.0,1.0,0.797
5.000_poly_scale_1.0_3_fps,0.74,0.028,0.665,0.059,0.928,0.016,0.632,0.053,poly,fps,5.0,scale,3.0,1.0,0.7965
1.000_poly_scale_3.0_4_fps,0.765,0.021,0.657,0.029,0.928,0.013,0.667,0.033,poly,fps,1.0,scale,4.0,3.0,0.7925
5.000_poly_scale_3.0_4_fps,0.765,0.021,0.657,0.029,0.928,0.013,0.667,0.033,poly,fps,5.0,scale,4.0,3.0,0.7925
0.100_poly_scale_3.0_4_fps,0.766,0.021,0.656,0.028,0.928,0.013,0.669,0.033,poly,fps,0.1,scale,4.0,3.0,0.792
0.010_poly_scale_1.0_3_fps,0.796,0.013,0.647,0.03,0.932,0.007,0.652,0.033,poly,fps,0.01,scale,3.0,1.0,0.7895000000000001
0.010_poly_auto_1.0_3_fps,0.796,0.013,0.647,0.03,0.932,0.007,0.653,0.033,poly,fps,0.01,auto,3.0,1.0,0.7895000000000001
0.100_poly_scale_1.0_2_fps,0.807,0.024,0.64,0.051,0.931,0.007,0.64,0.038,poly,fps,0.1,scale,2.0,1.0,0.7855000000000001
1.000_poly_scale_3.0_3_fps,0.77,0.022,0.644,0.027,0.925,0.013,0.667,0.032,poly,fps,1.0,scale,3.0,3.0,0.7845
5.000_poly_scale_3.0_3_fps,0.77,0.022,0.644,0.027,0.925,0.013,0.667,0.032,poly,fps,5.0,scale,3.0,3.0,0.7845
0.100_poly_scale_3.0_3_fps,0.771,0.02,0.644,0.024,0.924,0.013,0.668,0.031,poly,fps,0.1,scale,3.0,3.0,0.784
10.000_poly_scale_3.0_4_fps,0.769,0.026,0.648,0.038,0.918,0.011,0.676,0.048,poly,fps,10.0,scale,4.0,3.0,0.783
15.000_poly_scale_3.0_4_fps,0.769,0.026,0.648,0.038,0.918,0.011,0.676,0.048,poly,fps,15.0,scale,4.0,3.0,0.783
30.000_poly_scale_3.0_4_fps,0.769,0.026,0.648,0.038,0.918,0.011,0.676,0.048,poly,fps,30.0,scale,4.0,3.0,0.783
1.000_poly_scale_1.0_2_fps,0.753,0.023,0.641,0.06,0.92,0.018,0.64,0.042,poly,fps,1.0,scale,2.0,1.0,0.7805
5.000_poly_scale_1.0_2_fps,0.748,0.024,0.638,0.061,0.92,0.019,0.632,0.043,poly,fps,5.0,scale,2.0,1.0,0.779
10.000_poly_scale_3.0_3_fps,0.773,0.027,0.633,0.045,0.913,0.011,0.668,0.049,poly,fps,10.0,scale,3.0,3.0,0.773
15.000_poly_scale_3.0_3_fps,0.773,0.027,0.633,0.045,0.913,0.011,0.668,0.049,poly,fps,15.0,scale,3.0,3.0,0.773
30.000_poly_scale_3.0_3_fps,0.773,0.027,0.633,0.045,0.913,0.011,0.668,0.049,poly,fps,30.0,scale,3.0,3.0,0.773
1.000_poly_scale_3.0_2_fps,0.774,0.022,0.617,0.024,0.92,0.013,0.644,0.019,poly,fps,1.0,scale,2.0,3.0,0.7685
5.000_poly_scale_3.0_2_fps,0.774,0.021,0.616,0.026,0.921,0.013,0.641,0.021,poly,fps,5.0,scale,2.0,3.0,0.7685
0.100_poly_scale_3.0_2_fps,0.802,0.019,0.608,0.018,0.925,0.011,0.607,0.008,poly,fps,0.1,scale,2.0,3.0,0.7665
0.100_poly_scale_10.0_4_fps,0.774,0.02,0.612,0.026,0.92,0.013,0.637,0.02,poly,fps,0.1,scale,4.0,10.0,0.766
1.000_poly_scale_10.0_4_fps,0.774,0.02,0.612,0.026,0.92,0.013,0.637,0.02,poly,fps,1.0,scale,4.0,10.0,0.766
5.000_poly_scale_10.0_4_fps,0.774,0.02,0.612,0.026,0.92,0.013,0.637,0.02,poly,fps,5.0,scale,4.0,10.0,0.766
0.100_poly_scale_10.0_3_fps,0.769,0.016,0.593,0.024,0.918,0.013,0.607,0.02,poly,fps,0.1,scale,3.0,10.0,0.7555000000000001
1.000_poly_scale_10.0_3_fps,0.772,0.016,0.593,0.023,0.918,0.013,0.61,0.019,poly,fps,1.0,scale,3.0,10.0,0.7555000000000001
5.000_poly_scale_10.0_3_fps,0.772,0.016,0.593,0.023,0.918,0.013,0.61,0.019,poly,fps,5.0,scale,3.0,10.0,0.7555000000000001
10.000_poly_scale_3.0_2_fps,0.769,0.026,0.598,0.054,0.907,0.012,0.63,0.053,poly,fps,10.0,scale,2.0,3.0,0.7525
